epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8055,1.00286,1.68936,1.46593,0.88779,0.6625,0.85161,0.48314,1.14992,2.53813,1.94024,0.000651515,0.000651515,0.000651515
2,28.1256,0.99058,1.20073,1.40974,0.901,0.68266,0.78374,0.42569,1.69073,2.01467,3.93138,0.00131383,0.00131383,0.00131383
3,41.5326,1.01877,1.09482,1.41799,0.71163,0.6,0.54428,0.28004,2.11947,2.22933,5.32833,0.00197175,0.00197175,0.00197175
4,54.8538,1.02079,0.98822,1.4324,0.08654,0.0875,0.05101,0.02195,3.56473,2.98508,4.05386,0.0019802,0.0019802,0.0019802
5,68.154,0.99669,0.90033,1.3977,0.71148,0.6,0.61257,0.3332,1.85363,1.57437,2.54133,0.0019736,0.0019736,0.0019736
6,81.3756,0.95909,0.80759,1.36588,0.63627,0.65,0.5999,0.32643,1.71087,1.57552,2.56836,0.001967,0.001967,0.001967
7,94.593,0.95322,0.79538,1.36901,0.885,0.67337,0.7214,0.43927,1.51633,1.51274,2.27728,0.0019604,0.0019604,0.0019604
8,107.9,0.91934,0.73551,1.33388,0.76424,0.7625,0.81718,0.44586,1.61665,1.23323,2.5374,0.0019538,0.0019538,0.0019538
9,121.29,0.87809,0.7099,1.3062,0.90215,0.3625,0.50259,0.23789,2.28157,1.98419,2.90559,0.0019472,0.0019472,0.0019472
10,134.577,0.86778,0.68216,1.28942,0.27162,0.225,0.15316,0.06421,2.73791,2.74203,3.24498,0.0019406,0.0019406,0.0019406
11,147.851,0.86287,0.67595,1.2893,0.82735,0.7125,0.77465,0.44131,1.68022,1.26659,2.32188,0.001934,0.001934,0.001934
12,161.21,0.83362,0.64136,1.27899,0.8723,0.625,0.74902,0.44833,1.54118,1.20613,2.35208,0.0019274,0.0019274,0.0019274
13,174.557,0.80492,0.62447,1.25051,0.77835,0.725,0.80375,0.47825,1.35008,1.01218,2.08511,0.0019208,0.0019208,0.0019208
14,187.844,0.82725,0.62358,1.2555,0.85927,0.68689,0.79164,0.48485,1.29595,1.01504,1.98122,0.0019142,0.0019142,0.0019142
15,201.17,0.78299,0.59979,1.24101,0.85281,0.65186,0.72863,0.39202,1.6778,1.54455,2.23362,0.0019076,0.0019076,0.0019076
16,214.418,0.78595,0.59662,1.23796,0.64405,0.6875,0.63853,0.39981,1.60477,1.23338,2.38175,0.001901,0.001901,0.001901
17,227.727,0.7672,0.57495,1.23107,0.94727,0.67365,0.78434,0.42232,1.60144,1.30301,2.28126,0.0018944,0.0018944,0.0018944
18,241.048,0.76234,0.56415,1.22836,0.95069,0.72305,0.83002,0.55452,1.23702,1.00652,1.82403,0.0018878,0.0018878,0.0018878
19,254.471,0.76035,0.56015,1.216,0.57656,0.45,0.52358,0.25487,1.94681,1.87138,2.69643,0.0018812,0.0018812,0.0018812
20,267.761,0.74269,0.54355,1.20481,0.91576,0.7125,0.80032,0.52829,1.25683,1.04274,1.78991,0.0018746,0.0018746,0.0018746
21,281.09,0.72649,0.53561,1.19704,0.82505,0.65,0.70395,0.45136,1.57233,1.22935,1.87741,0.001868,0.001868,0.001868
22,294.469,0.71482,0.52479,1.20216,0.92979,0.75,0.84794,0.48226,1.42203,1.10869,1.93727,0.0018614,0.0018614,0.0018614
23,307.759,0.70518,0.51499,1.18837,0.95124,0.7875,0.87364,0.5775,1.1646,1.00594,1.66679,0.0018548,0.0018548,0.0018548
24,321.249,0.7046,0.4996,1.1759,0.91546,0.8,0.87873,0.59066,1.06648,0.86465,1.61273,0.0018482,0.0018482,0.0018482
25,334.708,0.69228,0.50106,1.17258,0.88408,0.775,0.81599,0.53604,1.26735,1.02902,1.88636,0.0018416,0.0018416,0.0018416
26,348.036,0.71158,0.51392,1.18539,0.9001,0.78842,0.86239,0.55895,1.14602,0.91037,1.74786,0.001835,0.001835,0.001835
27,361.449,0.67011,0.49589,1.16662,0.92584,0.8,0.86115,0.5576,1.25367,0.91726,1.93267,0.0018284,0.0018284,0.0018284
28,376.019,0.68298,0.48145,1.16335,0.92065,0.8702,0.92192,0.57017,1.19835,0.83412,1.9542,0.0018218,0.0018218,0.0018218
29,390.691,0.69078,0.49205,1.16841,0.83254,0.37291,0.5231,0.31938,1.55875,1.74842,2.08609,0.0018152,0.0018152,0.0018152
30,405.329,0.67323,0.47012,1.16092,0.93388,0.88273,0.95036,0.58805,1.32291,0.86381,1.81801,0.0018086,0.0018086,0.0018086
31,420.019,0.6905,0.4885,1.16523,0.9688,0.77634,0.87812,0.65522,0.98305,1.0063,1.55603,0.001802,0.001802,0.001802
32,434.714,0.68324,0.48285,1.16821,0.74002,0.6049,0.68806,0.38288,1.66045,1.52045,2.19782,0.0017954,0.0017954,0.0017954
33,449.278,0.64215,0.46363,1.1376,0.96917,0.78602,0.8954,0.64375,1.00911,0.85901,1.5816,0.0017888,0.0017888,0.0017888
34,463.847,0.66632,0.47053,1.15181,0.91738,0.69407,0.78574,0.57476,1.07451,1.21035,1.59992,0.0017822,0.0017822,0.0017822
35,478.578,0.62794,0.45134,1.12787,0.81556,0.7375,0.82682,0.53385,1.29944,1.00111,1.92405,0.0017756,0.0017756,0.0017756
36,493.237,0.65819,0.4659,1.13729,0.93743,0.7625,0.8362,0.58556,1.19708,1.02334,1.71952,0.001769,0.001769,0.001769
37,507.883,0.62096,0.442,1.11708,0.6438,0.325,0.37312,0.20859,2.07457,2.1823,2.6123,0.0017624,0.0017624,0.0017624
38,522.473,0.60988,0.43572,1.11477,0.90094,0.79585,0.8923,0.60451,1.08541,0.84697,1.59434,0.0017558,0.0017558,0.0017558
39,537.084,0.61584,0.44073,1.11974,0.75493,0.6625,0.73964,0.44543,1.21565,1.31048,1.68322,0.0017492,0.0017492,0.0017492
40,551.672,0.61419,0.43699,1.11878,0.82441,0.7375,0.83177,0.53047,1.31579,1.08251,1.88821,0.0017426,0.0017426,0.0017426
41,566.257,0.62002,0.44897,1.1246,0.9419,0.8375,0.90987,0.63625,1.06812,0.76238,1.6197,0.001736,0.001736,0.001736
42,580.764,0.60915,0.4313,1.11455,0.76644,0.475,0.60698,0.38044,1.51103,2.05521,2.15671,0.0017294,0.0017294,0.0017294
43,595.3,0.61443,0.43308,1.10892,0.97219,0.87387,0.9501,0.73402,0.84654,0.59706,1.35306,0.0017228,0.0017228,0.0017228
44,609.955,0.5729,0.40984,1.10037,0.93181,0.6875,0.82131,0.55314,1.27586,1.22046,1.73616,0.0017162,0.0017162,0.0017162
45,624.545,0.60134,0.41874,1.10706,0.91142,0.8875,0.94723,0.65604,1.1104,0.66261,1.70632,0.0017096,0.0017096,0.0017096
46,639.117,0.60211,0.43725,1.10852,0.98009,0.8,0.91938,0.68843,0.96623,0.78098,1.48145,0.001703,0.001703,0.001703
47,653.686,0.59716,0.41221,1.10384,0.92483,0.61523,0.76573,0.47859,1.43214,1.73196,1.87575,0.0016964,0.0016964,0.0016964
48,668.369,0.62482,0.44844,1.12332,1,0.81115,0.90621,0.64984,1.05064,0.67654,1.53487,0.0016898,0.0016898,0.0016898
49,682.955,0.60996,0.42629,1.10441,0.91545,0.7125,0.84001,0.51046,1.39558,0.99128,1.88444,0.0016832,0.0016832,0.0016832
50,697.493,0.57602,0.40463,1.0892,0.87622,0.8375,0.91177,0.65688,1.01591,0.76426,1.55042,0.0016766,0.0016766,0.0016766
51,712.024,0.59665,0.41484,1.10266,0.98039,0.85,0.90785,0.67027,1.08276,0.80854,1.53894,0.00167,0.00167,0.00167
52,726.584,0.58404,0.42254,1.10108,0.96823,0.8875,0.94513,0.74605,0.84299,0.59985,1.34911,0.0016634,0.0016634,0.0016634
53,741.266,0.60123,0.41347,1.1051,0.97913,0.775,0.89079,0.69255,0.85769,0.78736,1.35009,0.0016568,0.0016568,0.0016568
54,755.89,0.56854,0.39524,1.07609,0.82205,0.69297,0.8013,0.53661,1.18154,1.17512,1.69778,0.0016502,0.0016502,0.0016502
55,770.493,0.54878,0.37609,1.07308,0.94191,0.81077,0.88753,0.66772,0.93657,0.77589,1.50385,0.0016436,0.0016436,0.0016436
56,785.039,0.56455,0.39304,1.08198,0.95608,0.81641,0.90755,0.69884,0.86075,0.69732,1.41378,0.001637,0.001637,0.001637
57,799.603,0.55193,0.38733,1.07571,0.92737,0.79808,0.92103,0.59164,1.308,0.92122,1.7013,0.0016304,0.0016304,0.0016304
58,814.222,0.54658,0.37939,1.07436,0.97997,0.875,0.92083,0.7255,0.7773,0.66812,1.29114,0.0016238,0.0016238,0.0016238
59,828.819,0.55214,0.37651,1.07242,0.98563,0.85733,0.95148,0.6692,0.9569,0.74466,1.52687,0.0016172,0.0016172,0.0016172
60,843.427,0.52587,0.372,1.0676,0.91828,0.625,0.82886,0.5849,1.13529,1.47388,1.60789,0.0016106,0.0016106,0.0016106
61,858.037,0.541,0.37412,1.07493,0.7397,0.4,0.52482,0.30021,1.8017,2.26334,2.16166,0.001604,0.001604,0.001604
62,872.662,0.54645,0.39669,1.07993,0.71084,0.55316,0.6075,0.35185,1.58712,1.52322,2.34749,0.0015974,0.0015974,0.0015974
63,887.291,0.52255,0.36604,1.05919,0.95533,0.65,0.82272,0.64946,0.87177,1.02069,1.38653,0.0015908,0.0015908,0.0015908
64,901.829,0.53254,0.37227,1.07123,0.92465,0.675,0.7887,0.58846,0.9754,1.32404,1.53586,0.0015842,0.0015842,0.0015842
65,916.398,0.54422,0.37415,1.08297,0.84691,0.69155,0.8073,0.48152,1.48253,1.24338,1.94962,0.0015776,0.0015776,0.0015776
66,931.009,0.55204,0.38679,1.07166,0.98527,0.83636,0.90284,0.704,0.87144,0.65763,1.37075,0.001571,0.001571,0.001571
67,945.594,0.51525,0.36407,1.05577,0.90627,0.85,0.88735,0.69683,0.84702,0.77308,1.34431,0.0015644,0.0015644,0.0015644
68,960.158,0.54381,0.37229,1.07482,0.95474,0.8375,0.91176,0.71377,0.85196,0.71497,1.37221,0.0015578,0.0015578,0.0015578
69,974.775,0.52179,0.36778,1.05915,0.97031,0.81695,0.89535,0.7231,0.78108,0.82354,1.28406,0.0015512,0.0015512,0.0015512
70,989.3,0.50628,0.36367,1.05688,0.94943,0.8375,0.92682,0.73741,0.793,0.76509,1.33719,0.0015446,0.0015446,0.0015446
71,1003.82,0.50937,0.36336,1.05039,0.98293,0.71991,0.84761,0.61181,1.1034,1.27913,1.71604,0.001538,0.001538,0.001538
72,1018.44,0.51188,0.3572,1.06117,0.90033,0.79042,0.88441,0.67663,0.92008,0.94894,1.39123,0.0015314,0.0015314,0.0015314
73,1032.99,0.51395,0.35811,1.05971,0.58756,0.7875,0.70789,0.45211,1.26884,1.40037,1.69908,0.0015248,0.0015248,0.0015248
74,1047.53,0.52492,0.36456,1.06432,0.90205,0.80588,0.8953,0.66314,0.88537,1.00483,1.41664,0.0015182,0.0015182,0.0015182
75,1062.05,0.51657,0.36566,1.05846,0.93019,0.8125,0.90052,0.64711,1.03369,0.98318,1.53726,0.0015116,0.0015116,0.0015116
76,1076.62,0.51756,0.37094,1.06732,0.97235,0.87912,0.96039,0.74632,0.80058,0.60739,1.31433,0.001505,0.001505,0.001505
77,1091.3,0.51778,0.35731,1.05551,0.9672,0.73727,0.82685,0.62279,0.92983,0.88795,1.45604,0.0014984,0.0014984,0.0014984
78,1105.88,0.49479,0.34374,1.04252,0.92516,0.77267,0.8433,0.65682,1.00194,1.01383,1.52248,0.0014918,0.0014918,0.0014918
79,1120.43,0.50314,0.34444,1.04793,0.95213,0.74596,0.87192,0.68521,0.87616,1.13473,1.36978,0.0014852,0.0014852,0.0014852
80,1135.04,0.51215,0.36055,1.04907,0.98507,0.82457,0.94264,0.76302,0.7916,0.70303,1.29901,0.0014786,0.0014786,0.0014786
81,1149.79,0.49065,0.34119,1.04557,0.94862,0.85,0.96233,0.77289,0.78759,0.68385,1.34857,0.001472,0.001472,0.001472
82,1164.53,0.49194,0.34407,1.04605,0.92697,0.79335,0.88613,0.63634,0.98878,0.95872,1.4463,0.0014654,0.0014654,0.0014654
83,1179.19,0.48319,0.34192,1.0388,0.95356,0.76999,0.89072,0.65753,0.87091,0.81331,1.35071,0.0014588,0.0014588,0.0014588
84,1193.75,0.50131,0.34429,1.04423,0.94405,0.84364,0.88433,0.70884,0.84966,0.80118,1.3475,0.0014522,0.0014522,0.0014522
85,1208.32,0.48879,0.34121,1.03739,0.97138,0.84865,0.91039,0.72776,0.76472,0.65567,1.25466,0.0014456,0.0014456,0.0014456
86,1222.9,0.50103,0.34757,1.04814,0.98514,0.9,0.95995,0.80996,0.69119,0.56444,1.18893,0.001439,0.001439,0.001439
87,1237.63,0.49704,0.34306,1.03854,0.97088,0.83359,0.90596,0.70341,0.88504,0.84367,1.35389,0.0014324,0.0014324,0.0014324
88,1252.21,0.50245,0.34668,1.04723,0.98279,0.875,0.9126,0.73823,0.80429,0.61225,1.29382,0.0014258,0.0014258,0.0014258
89,1266.77,0.49171,0.33908,1.04533,0.89486,0.31929,0.50451,0.33629,1.54712,2.69584,1.95972,0.0014192,0.0014192,0.0014192
90,1281.41,0.47719,0.32955,1.03973,0.99967,0.825,0.92231,0.74922,0.76433,0.6093,1.26255,0.0014126,0.0014126,0.0014126
91,1296.01,0.48623,0.33594,1.04757,0.98363,0.7125,0.78301,0.62021,0.92231,1.24136,1.41893,0.001406,0.001406,0.001406
92,1310.63,0.47809,0.33164,1.03878,0.93278,0.825,0.92502,0.69595,0.90001,0.74237,1.41382,0.0013994,0.0013994,0.0013994
93,1325.22,0.46576,0.33766,1.03387,0.96997,0.80759,0.91694,0.71504,0.82366,0.76931,1.33499,0.0013928,0.0013928,0.0013928
94,1339.79,0.45791,0.31825,1.01093,0.95068,0.85,0.93723,0.67857,1.02989,0.87168,1.5275,0.0013862,0.0013862,0.0013862
95,1354.3,0.45751,0.32095,1.02989,1,0.89583,0.95919,0.70801,0.91138,0.71921,1.38055,0.0013796,0.0013796,0.0013796
96,1368.91,0.47039,0.33116,1.03373,0.97244,0.8875,0.94867,0.74526,0.83863,0.66215,1.33452,0.001373,0.001373,0.001373
97,1383.47,0.4666,0.33136,1.02867,0.98546,0.84737,0.91346,0.70423,0.97321,0.76976,1.46157,0.0013664,0.0013664,0.0013664
98,1398.01,0.47875,0.32974,1.02664,0.95569,0.80888,0.8981,0.65694,0.99717,1.00555,1.54488,0.0013598,0.0013598,0.0013598
99,1412.46,0.47439,0.32858,1.02961,0.89783,0.7625,0.8629,0.56395,1.28995,1.12165,1.7114,0.0013532,0.0013532,0.0013532
100,1425.78,0.46937,0.33347,1.03261,0.9253,0.77421,0.8907,0.61566,1.13452,0.99541,1.62907,0.0013466,0.0013466,0.0013466
101,1439.2,0.45675,0.31785,1.02603,0.97093,0.83508,0.94467,0.75228,0.73654,0.68576,1.22882,0.00134,0.00134,0.00134
102,1452.69,0.48254,0.33829,1.02507,0.94748,0.875,0.93423,0.72476,0.83679,0.70742,1.30094,0.0013334,0.0013334,0.0013334
103,1466.4,0.45074,0.31599,1.02297,0.98301,0.85,0.93086,0.76821,0.76846,0.76936,1.2301,0.0013268,0.0013268,0.0013268
